Format Version,1.2,Take Name,Take 2025-02-14 10.48.41 AM,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2025-02-14 10.48.41.561 AM,Total Frames,1121,Rotation Type,Quaternion,Global,,
,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Arm_finger,Arm_finger,Arm_finger,Arm_hand,Arm_hand,Arm_hand,Arm_thumb,Arm_thumb,Arm_thumb,Arm_shoulder,Arm_shoulder,Arm_shoulder,Arm_elbow,Arm_elbow,Arm_elbow
,,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
39,0.65,0.180569,0.309027,0.008549,0.052567,0.341799,0.023186,0.118238,0.275631,-0.035706,-0.32792,0.549893,-0.059102,-0.222717,0.344988,0.054336
40,0.666667,0.180631,0.310175,0.008685,0.052538,0.341781,0.023024,0.118291,0.275671,-0.035834,-0.327895,0.54992,-0.059215,-0.222671,0.34502,0.054239
41,0.683333,0.180692,0.311575,0.008877,0.052503,0.341762,0.022853,0.118352,0.275728,-0.035969,-0.327864,0.549944,-0.05933,-0.222622,0.345048,0.054135
42,0.7,0.180737,0.313228,0.009133,0.052462,0.341743,0.022676,0.11842,0.275802,-0.03611,-0.327828,0.549964,-0.059449,-0.222571,0.34507,0.054025
43,0.716667,0.180753,0.315136,0.009466,0.052415,0.341724,0.022499,0.118494,0.275889,-0.036254,-0.327787,0.54998,-0.05957,-0.222519,0.345086,0.053912
44,0.733333,0.180724,0.317286,0.009886,0.052363,0.341706,0.022324,0.118572,0.27599,-0.036398,-0.327742,0.549993,-0.059693,-0.222469,0.345097,0.053794
45,0.75,0.180631,0.319618,0.010377,0.052308,0.341689,0.022157,0.118654,0.276105,-0.036537,-0.327695,0.550005,-0.059818,-0.222419,0.345102,0.053672
46,0.766667,0.180466,0.32204,0.010914,0.052252,0.341675,0.021998,0.118736,0.276235,-0.036672,-0.327647,0.550014,-0.059945,-0.222372,0.345105,0.053546
47,0.783333,0.180226,0.324462,0.011468,0.052201,0.341664,0.021847,0.118819,0.276375,-0.036805,-0.327598,0.550024,-0.060073,-0.222326,0.345105,0.053417
48,0.8,0.179912,0.326807,0.012011,0.052157,0.341654,0.021701,0.1189,0.276517,-0.036936,-0.327549,0.550033,-0.060202,-0.222282,0.345107,0.053288
